 Lon(deg)   Lat(deg)   z(km)  DVp(%)  p(km/s) s(km/s)  VpVs   g/cm^3  P-ratio
  101.2500    2.7500  -20.00  -0.011    6.50    3.77  1.7229   2.833    0.25
  101.5000    3.0000  -20.00  -0.668    6.46    3.75  1.7201   2.822    0.25
  101.5000    2.7500  -20.00  -0.400    6.47    3.76  1.7213   2.827    0.25
  101.5000    1.0000  -20.00   2.921    6.69    3.86  1.7349   2.882    0.26
  101.7500    3.0000  -20.00  -0.526    6.47    3.76  1.7207   2.825    0.25
  101.7500    2.7500  -20.00  -0.111    6.49    3.77  1.7225   2.831    0.25
  101.7500    1.0000  -20.00  -0.224    6.49    3.77  1.7220   2.829    0.25
  102.2500    3.7500  -20.00  -2.080    6.36    3.71  1.7141   2.800    0.25
  102.5000    3.7500  -20.00  -0.955    6.44    3.75  1.7189   2.818    0.25
  102.7500    5.2500  -20.00   0.148    6.51    3.78  1.7236   2.835    0.25
  102.7500    5.0000  -20.00   0.024    6.50    3.77  1.7231   2.833    0.25
  103.0000    5.2500  -20.00   0.690    6.54    3.79  1.7259   2.844    0.25
  103.0000    5.0000  -20.00   0.096    6.51    3.78  1.7234   2.835    0.25
  103.0000    2.0000  -20.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  103.0000    1.7500  -20.00   0.287    6.52    3.78  1.7242   2.838    0.25
  103.2500    5.0000  -20.00  -0.251    6.48    3.77  1.7219   2.829    0.25
  103.2500    2.0000  -20.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  103.2500    1.7500  -20.00  -0.408    6.47    3.76  1.7212   2.826    0.25
  103.2500    1.5000  -20.00  -1.848    6.38    3.72  1.7151   2.803    0.25
  103.2500    1.2500  -20.00  -0.387    6.47    3.76  1.7213   2.827    0.25
  103.5000    2.5000  -20.00  -0.749    6.45    3.75  1.7198   2.821    0.25
  103.5000    1.7500  -20.00  -1.627    6.39    3.73  1.7160   2.807    0.25
  103.5000    1.5000  -20.00   0.377    6.52    3.78  1.7246   2.839    0.25
  103.5000    1.2500  -20.00   2.532    6.66    3.84  1.7333   2.875    0.25
  103.5000    1.0000  -20.00   0.138    6.51    3.78  1.7236   2.835    0.25
  103.7500    1.7500  -20.00   2.309    6.65    3.84  1.7325   2.872    0.25
  103.7500    1.5000  -20.00   0.145    6.51    3.78  1.7236   2.835    0.25
  103.7500    1.2500  -20.00   0.279    6.52    3.78  1.7241   2.838    0.25
  103.7500    1.0000  -20.00   0.809    6.55    3.80  1.7264   2.846    0.25
  104.0000    1.5000  -20.00  -0.143    6.49    3.77  1.7224   2.831    0.25
  104.0000    1.2500  -20.00   0.123    6.51    3.78  1.7235   2.835    0.25
  104.0000    1.0000  -20.00   0.065    6.50    3.77  1.7232   2.834    0.25
>
  100.0000    4.5000  -25.00   1.504    6.60    3.82  1.7292   2.858    0.25
  100.0000    4.2500  -25.00   0.857    6.56    3.80  1.7266   2.847    0.25
  100.0000    4.0000  -25.00   1.262    6.58    3.81  1.7282   2.854    0.25
  100.0000    3.7500  -25.00   0.995    6.56    3.80  1.7271   2.849    0.25
  100.0000    3.5000  -25.00  -0.142    6.49    3.77  1.7224   2.831    0.25
  100.0000    3.2500  -25.00  -0.506    6.47    3.76  1.7208   2.825    0.25
  100.0000    2.2500  -25.00  -1.272    6.42    3.74  1.7175   2.813    0.25
  100.0000    2.0000  -25.00  -2.910    6.31    3.69  1.7105   2.787    0.25
  100.0000    1.7500  -25.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.0000    1.5000  -25.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.0000    1.2500  -25.00  -2.435    6.34    3.70  1.7125   2.794    0.25
  100.0000    1.0000  -25.00  -0.265    6.48    3.77  1.7218   2.829    0.25
  100.2500    5.2500  -25.00  -0.668    6.46    3.75  1.7201   2.822    0.25
  100.2500    5.0000  -25.00  -0.679    6.46    3.75  1.7201   2.822    0.25
  100.5000    5.2500  -25.00  -2.741    6.32    3.69  1.7112   2.789    0.25
  100.5000    5.0000  -25.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.5000    4.7500  -25.00  -0.235    6.48    3.77  1.7220   2.829    0.25
  100.5000    4.5000  -25.00  -0.040    6.50    3.77  1.7228   2.832    0.25
  100.5000    4.2500  -25.00  -0.048    6.50    3.77  1.7228   2.832    0.25
  100.7500    5.0000  -25.00   2.029    6.63    3.83  1.7313   2.867    0.25
  100.7500    4.7500  -25.00  -0.045    6.50    3.77  1.7228   2.832    0.25
  100.7500    4.5000  -25.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.7500    4.2500  -25.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.7500    4.0000  -25.00  -0.529    6.47    3.76  1.7207   2.824    0.25
  101.0000    4.5000  -25.00  -0.944    6.44    3.75  1.7190   2.818    0.25
  101.0000    4.2500  -25.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  101.0000    4.0000  -25.00  -0.191    6.49    3.77  1.7222   2.830    0.25
  101.2500    4.2500  -25.00  -0.073    6.50    3.77  1.7227   2.832    0.25
  101.2500    4.0000  -25.00  -0.007    6.50    3.77  1.7229   2.833    0.25
  101.2500    3.0000  -25.00  -1.491    6.40    3.73  1.7166   2.809    0.25
  101.2500    2.7500  -25.00  -0.127    6.49    3.77  1.7224   2.831    0.25
  101.5000    3.0000  -25.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  101.5000    2.7500  -25.00  -1.087    6.43    3.74  1.7183   2.815    0.25
  101.7500    3.0000  -25.00  -0.345    6.48    3.76  1.7215   2.827    0.25
  101.7500    2.7500  -25.00  -0.038    6.50    3.77  1.7228   2.832    0.25
  102.7500    5.0000  -25.00  -0.072    6.50    3.77  1.7227   2.832    0.25
  103.0000    5.0000  -25.00  -0.801    6.45    3.75  1.7196   2.820    0.25
  103.0000    2.0000  -25.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  103.0000    1.7500  -25.00  -0.543    6.46    3.76  1.7207   2.824    0.25
  103.2500    5.0000  -25.00  -0.042    6.50    3.77  1.7228   2.832    0.25
  103.2500    2.0000  -25.00  -1.803    6.38    3.72  1.7153   2.804    0.25
  103.2500    1.7500  -25.00  -0.908    6.44    3.75  1.7191   2.818    0.25
  103.2500    1.5000  -25.00  -0.981    6.44    3.74  1.7188   2.817    0.25
  103.2500    1.2500  -25.00   0.750    6.55    3.79  1.7261   2.845    0.25
  103.2500    1.0000  -25.00   0.005    6.50    3.77  1.7230   2.833    0.25
  103.5000    1.7500  -25.00  -2.537    6.34    3.70  1.7121   2.793    0.25
  103.5000    1.5000  -25.00   3.000    6.69    3.86  1.7352   2.883    0.26
  103.5000    1.2500  -25.00   3.000    6.69    3.86  1.7352   2.883    0.26
  103.5000    1.0000  -25.00   0.353    6.52    3.78  1.7245   2.839    0.25
  103.7500    1.7500  -25.00   0.390    6.53    3.78  1.7246   2.839    0.25
  103.7500    1.5000  -25.00   2.338    6.65    3.84  1.7326   2.872    0.25
  103.7500    1.2500  -25.00   2.971    6.69    3.86  1.7351   2.883    0.26
  103.7500    1.0000  -25.00   0.240    6.52    3.78  1.7240   2.837    0.25
>
  100.0000    4.5000  -30.00   1.890    6.62    3.83  1.7308   2.865    0.25
  100.0000    4.2500  -30.00   0.534    6.53    3.79  1.7252   2.842    0.25
  100.0000    4.0000  -30.00   0.637    6.54    3.79  1.7256   2.844    0.25
  100.0000    3.2500  -30.00   0.298    6.52    3.78  1.7242   2.838    0.25
  100.0000    3.0000  -30.00   0.022    6.50    3.77  1.7231   2.833    0.25
  100.0000    2.7500  -30.00  -0.109    6.49    3.77  1.7225   2.831    0.25
  100.0000    2.5000  -30.00  -0.193    6.49    3.77  1.7222   2.830    0.25
  100.0000    2.2500  -30.00  -0.857    6.44    3.75  1.7193   2.819    0.25
  100.0000    2.0000  -30.00   1.428    6.59    3.81  1.7289   2.857    0.25
  100.0000    1.7500  -30.00   3.000    6.69    3.86  1.7352   2.883    0.26
  100.0000    1.5000  -30.00   1.079    6.57    3.80  1.7275   2.851    0.25
