YYYY/MM/DD HR:MI:SS.00  Z(km)  EVENT-ID STN   ARRIV-ID  XD(km)   BAZI   RCAL  REIN
2005/03/28 19:26:36.63   7.70   7486260 IPM      73203  365.83  215.52  0.94  1.20   166
2005/03/28 19:26:36.63   7.70   7486260 KULM     67279  423.75  203.76 -0.11  0.40   167
2005/03/28 19:26:36.63   7.70   7486260 KGM      73203  468.48  267.04 -0.53 -0.10   168
2005/03/28 19:54:00.48  23.60   8295778 IPM      73203  517.81  244.87  2.33  3.40   169
2005/03/28 19:54:00.48  23.60   8295778 KULM     67279  527.40  234.01  1.88  3.00   170
2005/03/28 19:54:00.48  23.60   8295778 KGM      73203  726.68  274.21  2.60  3.30   171
2005/03/28 20:16:46.57  35.00   8295781 IPM      73203  349.32  215.39  0.52  1.20   172
2005/03/28 20:16:46.57  35.00   8295781 KULM     67280  407.77  203.18 -0.59  0.20   173
2005/03/28 20:16:46.57  35.00   8295781 KGM      73203  457.72  268.60 -1.32 -0.80   174
2005/03/28 20:35:17.01  27.80   7486309 IPM      73203  530.55  235.55  1.89  3.20   175
2005/03/28 20:35:17.01  27.80   7486309 KULM     67280  555.56  225.39  0.28  1.60   176
2005/03/28 20:35:17.01  27.80   7486309 KGM      73203  693.81  267.80  2.22  3.20   177
2005/03/28 21:07:49.37  28.00   7486353 IPM      73203  561.19  230.12  0.76  2.00   178
2005/03/28 21:07:49.37  28.00   7486353 KULM     67280  594.51  220.83 -1.65 -0.30   179
2005/03/28 21:07:49.37  28.00   7486353 KGM      73203  691.78  262.84  1.38  2.40   180
2005/03/28 21:13:12.50  28.10   7486356 IPM      73203  365.84  214.75  0.98  2.00   181
2005/03/28 21:13:12.50  28.10   7486356 KULM     67280  424.76  203.12 -1.19  0.20   182
2005/03/28 21:13:12.50  28.10   7486356 KGM      73203  464.64  266.67 -0.94  0.30   183
2005/03/28 21:26:36.78  25.00   7486363 IPM      73203  560.18  228.28  1.37  2.50   184
2005/03/28 21:26:36.78  25.00   7486363 KULM     67280  596.42  219.10 -0.49  0.70   185
2005/03/28 21:26:36.78  25.00   7486363 KGM      73203  681.07  261.63  1.41  2.20   186
2005/03/28 23:13:00.21  34.90   7486410 IPM      73203  656.91  222.32 -0.54  1.10   187
2005/03/28 23:13:00.21  34.90   7486410 KULM     67281  701.28  214.81 -2.92 -1.20   188
